FID,LONGITUDE_bin,LONGITUDE_bound_min,LONGITUDE_bound_max,LATITUDE_bin,LATITUDE_bound_min,LATITUDE_bound_max,TIME_bin,TIME_bound_min,TIME_bound_max,DEPTH_bin,DEPTH_bound_min,DEPTH_bound_max,TEMP_n,TEMP_min,TEMP_max,TEMP_mean,TEMP_stddev,PSAL_n,PSAL_min,PSAL_max,PSAL_mean,PSAL_stddev,geom_bin
marvl3_atlas_data.fid-198671b7_17d3b9ee573_-2ed8,115,114.875,115.125,-31.75,-31.875,-31.625,1995-01-15T00:00:00Z,1995-01-01T00:00:00Z,1995-02-01T00:00:00Z,0,-5,5,1,22.465,22.465,22.465,,0,,,,,"POLYGON ((115.125 -31.625, 115.125 -31.875, 114.875 -31.875, 114.875 -31.625, 115.125 -31.625))"
marvl3_atlas_data.fid-198671b7_17d3b9ee573_-2ed7,114.5,114.375,114.625,-33.75,-33.875,-33.625,1995-02-15T00:00:00Z,1995-02-01T00:00:00Z,1995-03-01T00:00:00Z,0,-5,5,1,22.515,22.515,22.515,,0,,,,,"POLYGON ((114.625 -33.625, 114.625 -33.875, 114.375 -33.875, 114.375 -33.625, 114.625 -33.625))"
marvl3_atlas_data.fid-198671b7_17d3b9ee573_-2ed6,114.75,114.625,114.875,-33.75,-33.875,-33.625,1995-02-15T00:00:00Z,1995-02-01T00:00:00Z,1995-03-01T00:00:00Z,0,-5,5,2,22.135,22.195,22.165,0.0424,0,,,,,"POLYGON ((114.875 -33.625, 114.875 -33.875, 114.625 -33.875, 114.625 -33.625, 114.875 -33.625))"
marvl3_atlas_data.fid-198671b7_17d3b9ee573_-2ed5,115,114.875,115.125,-32.25,-32.375,-32.125,1995-02-15T00:00:00Z,1995-02-01T00:00:00Z,1995-03-01T00:00:00Z,0,-5,5,2,20.905,21.945,21.425,0.7354,0,,,,,"POLYGON ((115.125 -32.125, 115.125 -32.375, 114.875 -32.375, 114.875 -32.125, 115.125 -32.125))"
marvl3_atlas_data.fid-198671b7_17d3b9ee573_-2ed4,115.25,115.125,115.375,-32.25,-32.375,-32.125,1995-02-15T00:00:00Z,1995-02-01T00:00:00Z,1995-03-01T00:00:00Z,0,-5,5,3,21.165,22.035,21.469,0.4906,0,,,,,"POLYGON ((115.375 -32.125, 115.375 -32.375, 115.125 -32.375, 115.125 -32.125, 115.375 -32.125))"
marvl3_atlas_data.fid-198671b7_17d3b9ee573_-2ed3,115,114.875,115.125,-32,-32.125,-31.875,1995-02-15T00:00:00Z,1995-02-01T00:00:00Z,1995-03-01T00:00:00Z,0,-5,5,2,21.425,22.175,21.8,0.5303,0,,,,,"POLYGON ((115.125 -31.875, 115.125 -32.125, 114.875 -32.125, 114.875 -31.875, 115.125 -31.875))"
marvl3_atlas_data.fid-198671b7_17d3b9ee573_-2ed2,115.25,115.125,115.375,-32,-32.125,-31.875,1995-02-15T00:00:00Z,1995-02-01T00:00:00Z,1995-03-01T00:00:00Z,0,-5,5,7,21.275,23.045,22.1536,0.7072,0,,,,,"POLYGON ((115.375 -31.875, 115.375 -32.125, 115.125 -32.125, 115.125 -31.875, 115.375 -31.875))"
marvl3_atlas_data.fid-198671b7_17d3b9ee573_-2ed1,115.75,115.625,115.875,-32,-32.125,-31.875,1995-02-15T00:00:00Z,1995-02-01T00:00:00Z,1995-03-01T00:00:00Z,0,-5,5,1,22.485,22.485,22.485,,0,,,,,"POLYGON ((115.875 -31.875, 115.875 -32.125, 115.625 -32.125, 115.625 -31.875, 115.875 -31.875))"
marvl3_atlas_data.fid-198671b7_17d3b9ee573_-2ed0,115,114.875,115.125,-31.75,-31.875,-31.625,1995-02-15T00:00:00Z,1995-02-01T00:00:00Z,1995-03-01T00:00:00Z,0,-5,5,4,21.975,23.645,22.625,0.7489,0,,,,,"POLYGON ((115.125 -31.625, 115.125 -31.875, 114.875 -31.875, 114.875 -31.625, 115.125 -31.625))"
marvl3_atlas_data.fid-198671b7_17d3b9ee573_-2ecf,115.25,115.125,115.375,-31.75,-31.875,-31.625,1995-02-15T00:00:00Z,1995-02-01T00:00:00Z,1995-03-01T00:00:00Z,0,-5,5,3,21.385,22.465,21.9463,0.5413,0,,,,,"POLYGON ((115.375 -31.625, 115.375 -31.875, 115.125 -31.875, 115.125 -31.625, 115.375 -31.625))"
