 Date & UTC Time,Sea Level,Water Temperature,Air Temperature,Barometric Pressure,Residuals,Adjusted Residuals,Wind Direction,Wind Gust,Wind Speed
1/01/2017 0:00,1.007,28,27.5,1006.5,0.019,-0.043,335,4.9,1.8
1/01/2017 1:00,0.88,28,28,1006,0.029,-0.038,302,6.3,1.9
1/01/2017 2:00,0.799,28,28.2,1005.7,0.035,-0.038,296,6.5,2
1/01/2017 3:00,0.787,28.1,27,1005.3,0.031,-0.044,296,5.2,1
1/01/2017 4:00,0.864,28.1,26.9,1005,0.028,-0.051,72,4,1.4
1/01/2017 5:00,1.004,27.9,27.4,1005,0.021,-0.061,67,5.8,3.3
1/01/2017 6:00,1.169,27.9,26.9,1005.4,0.018,-0.064,79,5,1.5
1/01/2017 7:00,1.299,27.9,24.2,1006.2,0.004,-0.073,74,4.2,1.1
1/01/2017 8:00,1.366,27.9,24.5,1006.4,-0.009,-0.078,188,3.1,0.7
1/01/2017 9:00,1.354,27.9,24.3,1006.6,-0.008,-0.076,191,4.1,1.1
1/01/2017 10:00,1.234,27.9,23.6,1007.3,-0.008,-0.073,136,5.8,0.2
1/01/2017 11:00,1.031,28,24,1007.7,-0.001,-0.06,199,1.7,0.7
1/01/2017 12:00,0.786,28,23.9,1007.6,0.006,-0.048,204,1.3,0.8
1/01/2017 13:00,0.558,28,24.2,1007.3,0.017,-0.039,130,1.9,0.7
1/01/2017 14:00,0.398,28,23.5,1006.8,0.032,-0.027,168,3.7,0.1
1/01/2017 15:00,0.312,27.9,23.6,1006.3,0.016,-0.048,0,1.5,0
1/01/2017 16:00,0.36,27.9,23.7,1006.1,0.011,-0.058,185,1.3,0.4
1/01/2017 17:00,0.525,27.9,23.8,1005.9,0.014,-0.058,177,2,1.1
1/01/2017 18:00,0.741,27.9,23.7,1006.6,0.003,-0.069,189,1.7,1
1/01/2017 19:00,0.977,27.9,23.8,1007.3,0.005,-0.06,185,1.6,1.2
1/01/2017 20:00,1.164,27.9,26.4,1007.7,-0.003,-0.062,148,2.1,0
1/01/2017 21:00,1.276,27.9,27.6,1007.9,-0.009,-0.064,61,2.4,0.6
1/01/2017 22:00,1.292,27.9,26.8,1008,-0.013,-0.066,73,6.7,3.6
1/01/2017 23:00,1.216,27.9,27.7,1007.9,-0.017,-0.069,65,7.4,4
2/01/2017 0:00,1.095,28,28.1,1007.6,-0.006,-0.06,66,8.6,4.5
2/01/2017 1:00,0.963,28,29.3,1007.1,0.009,-0.048,74,8.3,4
2/01/2017 2:00,0.851,28,29,1006.8,0.021,-0.04,77,7.7,3.9
2/01/2017 3:00,0.794,28.1,28.1,1006.4,0.031,-0.033,76,9.6,3.9
2/01/2017 4:00,0.8,28.1,28.7,1006.1,0.025,-0.044,73,7.8,3.8
2/01/2017 5:00,0.885,28.1,28.3,1006.3,0.019,-0.053,73,7.3,4.1
2/01/2017 6:00,1.014,28.1,27.8,1006.8,0.003,-0.066,76,6.8,1.8
2/01/2017 7:00,1.154,28.1,27,1007.4,-0.011,-0.074,136,5.1,1.1
2/01/2017 8:00,1.267,28.1,25.7,1008.1,-0.019,-0.076,176,2.1,1.3
2/01/2017 9:00,1.322,28.1,24.6,1008.3,-0.018,-0.068,181,2,1.3
2/01/2017 10:00,1.292,28,24.3,1008.3,-0.007,-0.056,185,2.1,1.3
2/01/2017 11:00,1.149,28,24.4,1008.8,-0.011,-0.059,186,2.2,1
2/01/2017 12:00,0.954,28,23.9,1008.5,0.005,-0.039,198,2.3,1.3
2/01/2017 13:00,0.736,28,23.8,1008.1,0.024,-0.024,185,2.2,1.3
2/01/2017 14:00,0.531,28,23.5,1007.6,0.027,-0.025,189,1.9,1.2
2/01/2017 15:00,0.393,28,23.5,1007.2,0.023,-0.034,193,1.9,1.3
2/01/2017 16:00,0.358,28,23.3,1007.2,0.015,-0.046,193,1.9,1.3
2/01/2017 17:00,0.438,28,23.3,1007.4,0.006,-0.054,194,1.9,1.2
2/01/2017 18:00,0.607,27.9,23.1,1007.8,-0.005,-0.063,195,1.7,1.1
2/01/2017 19:00,0.826,27.9,23.3,1008.5,-0.011,-0.065,193,1.7,0.8
2/01/2017 20:00,1.037,27.9,26.4,1008.5,-0.018,-0.065,190,1.2,0.3
2/01/2017 21:00,1.202,27.9,28.1,1008.4,-0.022,-0.069,82,6.1,3.6
2/01/2017 22:00,1.287,28.1,28.5,1008.4,-0.023,-0.071,72,6,3.2
2/01/2017 23:00,1.282,28.2,28.9,1008.4,-0.02,-0.068,72,7,1.9
3/01/2017 0:00,1.194,28.2,29.1,1007.9,-0.019,-0.068,76,5.6,2.3
3/01/2017 1:00,1.08,28.2,29.2,1007.2,0.002,-0.052,75,8.1,3.8
3/01/2017 2:00,0.95,28.3,29.5,1007,0.016,-0.044,76,7.6,4.4
3/01/2017 3:00,0.849,28.5,29.8,1006.6,0.03,-0.032,75,8,2.9
3/01/2017 4:00,0.791,28.5,30,1005.9,0.028,-0.039,309,4.8,1.3
3/01/2017 5:00,0.798,28.6,29.4,1005.9,0.015,-0.059,93,5.1,1.9
3/01/2017 6:00,0.878,28.6,28.5,1006.5,0.003,-0.069,71,4.5,2.4
3/01/2017 7:00,0.993,28.6,27.6,1007.1,-0.017,-0.084,70,4.7,1.2
3/01/2017 8:00,1.123,28,26.4,1007.9,-0.024,-0.084,197,2.1,1.1
3/01/2017 9:00,1.233,28.1,25.8,1008.1,-0.017,-0.07,199,1.8,1
3/01/2017 10:00,1.271,28.1,25.3,1008.7,-0.013,-0.063,195,1.7,1.1
3/01/2017 11:00,1.215,28.1,25.1,1008.7,-0.014,-0.06,190,1.9,1.1
3/01/2017 12:00,1.078,28.1,25.1,1008.7,-0.01,-0.055,193,1.8,0.6
3/01/2017 13:00,0.897,28.1,25.4,1007.9,0.007,-0.039,151,1.3,0.2
3/01/2017 14:00,0.71,28.1,24.8,1007.2,0.03,-0.024,202,1.4,0.4
3/01/2017 15:00,0.545,28.1,25.3,1006.7,0.039,-0.021,195,1,0.1
3/01/2017 16:00,0.444,28.1,25.1,1006.5,0.036,-0.029,108,1.3,0.8
3/01/2017 17:00,0.432,28.1,24.7,1006.5,0.017,-0.05,137,1.7,0.3
3/01/2017 18:00,0.525,28,24.4,1006.7,0.002,-0.064,194,0.9,0.5
3/01/2017 19:00,0.701,28,25.1,1006.9,-0.006,-0.071,188,0.9,0.1
3/01/2017 20:00,0.924,27.9,26.5,1007.2,0.002,-0.061,55,1.5,1
3/01/2017 21:00,1.135,27.9,28.6,1007.5,0.013,-0.047,224,2.6,0.7
3/01/2017 22:00,1.288,27.9,28.5,1007.8,0.023,-0.034,208,3.9,1.1
3/01/2017 23:00,1.356,27.9,29,1007.3,0.03,-0.025,222,4.1,1.2
4/01/2017 0:00,1.33,28,29.2,1007.2,0.028,-0.031,309,4.7,1.3
4/01/2017 1:00,1.241,28.1,29.8,1006.7,0.036,-0.025,258,4.8,1.3
4/01/2017 2:00,1.109,28.1,30.2,1006.1,0.042,-0.023,229,5,1.7
4/01/2017 3:00,0.959,28.1,30.1,1005.5,0.036,-0.036,277,4.5,1.3
4/01/2017 4:00,0.851,28.1,26.7,1005.5,0.043,-0.034,279,4.7,1.2
4/01/2017 5:00,0.794,28.1,27,1005.1,0.042,-0.036,274,4.7,0.9
4/01/2017 6:00,0.796,28,28.7,1005.7,0.026,-0.054,228,2.4,1
4/01/2017 7:00,0.871,28,28,1006,0.02,-0.055,1,2.1,0.3
4/01/2017 8:00,0.987,28,27.1,1006.3,0.013,-0.059,159,1.7,1
4/01/2017 9:00,1.106,28,26.8,1007,0.006,-0.063,116,2.1,0.2
4/01/2017 10:00,1.206,28.1,26.4,1007.4,0.013,-0.049,146,1.6,0.3
4/01/2017 11:00,1.232,28.3,26.2,1007.9,0.01,-0.047,126,1.4,0.8
4/01/2017 12:00,1.173,28.3,25.9,1007.5,0.004,-0.05,200,1.3,0.2
4/01/2017 13:00,1.058,28.3,25.5,1006.7,0.015,-0.042,197,1.4,0.6
4/01/2017 14:00,0.898,28.3,25.1,1006.1,0.03,-0.035,193,1.2,0.4
4/01/2017 15:00,0.728,28.2,24.6,1005.7,0.043,-0.028,188,1.5,1.2
